sport,date,time,competition,home_team,away_team,venue,referee,scraped_date,age_id
Ladies Football,Saturday July 5,12:00,LGFA U10 2 Team Group Z,Na Gaeil Oga,St Patricks Palmerstown,Phoenix Park,TBC,2025-07-05,3295
Ladies Football,Saturday July 5,12:00,LGFA U10 2 Team Group Z,Garda/Westmanstown Gaels,Bray Emmets,Jerome Twomey Park,TBC,2025-07-05,3295
Ladies Football,Sunday July 6,13:00,LGFA U14 League Div 12 S,Kilmacud Crokes,Ballyfermot Gaels,Pairc De Burca,Derek Oman,2025-07-06,3299
Ladies Football,Sunday July 6,10:00,LGFA U9 4 team group Y,Na Fianna,Na Fianna,St Mobhi Road,TBC,2025-07-06,3294
Ladies Football,Sunday July 6,10:00,LGFA U9 4 team group Y,St Finians Swords,Fingallians,River Valley,TBC,2025-07-06,3294
Ladies Football,Sunday July 6,10:00,LGFA U9 4 team group Y,St Sylvesters,Erins Isle,Broomfield,TBC,2025-07-06,3294
Ladies Football,Sunday July 6,10:00,LGFA u9 3 Team Group V,Ballinteer St Johns,Ranelagh Gaels,Marley Park,TBC,2025-07-06,3294
Ladies Football,Sunday July 6,10:00,LGFA u9 3 Team Group V,Naomh Olaf,St Judes,Pairc Ui Bhrian,TBC,2025-07-06,3294
Ladies Football,Sunday July 6,10:00,LGFA U9 3 Team Group Y,Castleknock,Erin Go Bragh,Somerton,TBC,2025-07-06,3294
Ladies Football,Sunday July 6,10:00,LGFA U9 3 Team Group Y,St Oliver Plunkett ER,Whitehall Colmcille,Martin Savage Park,TBC,2025-07-06,3294
Ladies Football,Sunday July 6,10:00,LGFA U9 3 Team Group Y,Raheny,St Patricks Donabate,St Annes No 10,TBC,2025-07-06,3294
Ladies Football,Sunday July 6,10:00,LGFA U9 3 Team Group Y,Clontarf,Naomh Mearnog,St Annes No 34,TBC,2025-07-06,3294
Ladies Football,Sunday July 6,10:00,LGFA U9 2 Team Group Y,Thomas Davis,Bray Emmets,Kiltipper Road,TBC,2025-07-06,3294
Ladies Football,Sunday July 6,10:00,LGFA U9 2 Team Group Y,St Finians Newcastle,St Kevins/Killians,Newcastle,TBC,2025-07-06,3294
Ladies Football,Sunday July 6,10:00,LGFA U9 2 Team Group Y,Shankill,Foxrock Cabinteely,Shanganagh Cliffs,TBC,2025-07-06,3294
Ladies Football,Sunday July 6,10:00,LGFA U9 2 Team Group Y,Geraldine P Morans,St Patricks Palmerstown,Cornelscourt,TBC,2025-07-06,3294
Ladies Football,Sunday July 6,10:00,LGFA U9 4 Team Group X,Ballyboden St Endas,Cuala,Cherryfield,TBC,2025-07-06,3294
Ladies Football,Sunday July 6,10:00,LGFA U9 4 Team Group X,Round Towers Clondalkin,Naomh Olaf,Clondalkin,TBC,2025-07-06,3294
Ladies Football,Sunday July 6,10:00,LGFA U9 2 Team Group X,Skerries Harps,Craobh Chiarain/Innisfails,Skerries,TBC,2025-07-06,3294
Ladies Football,Sunday July 6,10:00,LGFA U9 2 Team Group X,Trinity Gaels,St Brigids,Drumnigh,TBC,2025-07-06,3294
Ladies Football,Sunday July 6,10:00,LGFA U 9 3 Team Group W,St Marys Saggart,Thomas Davis,Saggart,TBC,2025-07-06,3294
Ladies Football,Sunday July 6,10:00,LGFA U 9 3 Team Group W,Ballyboden St Endas,Wanderers/Robert Emmets and Garda Westmanstown Gaels,Cherryfield,TBC,2025-07-06,3294
Ladies Football,Sunday July 6,10:00,LGFA U 9 3 Team Group W,Ballinteer St Johns,St Annes,Marley Park,TBC,2025-07-06,3294
Ladies Football,Sunday July 6,10:00,LGFA U9 3 Team Group X,Whitehall Colmcille,St Sylvesters,Ellenfield,TBC,2025-07-06,3294
Ladies Football,Sunday July 6,10:00,LGFA U9 3 Team Group X,Ballymun Kickhams,Raheny,Pairc Ciceam,TBC,2025-07-06,3294
Ladies Football,Sunday July 6,10:00,LGFA U9 3 Team Group X,St Brigids,Castleknock,Russell Park,TBC,2025-07-06,3294
Ladies Football,Sunday July 6,10:00,LGFA U8 4 Team Group Y,Na Fianna,Na Fianna,St Mobhi Road,TBC,2025-07-06,3293
Ladies Football,Sunday July 6,10:00,LGFA U8 4 Team Group Y,St Oliver Plunkett ER,Erins Isle,Martin Savage Park,TBC,2025-07-06,3293
Ladies Football,Sunday July 6,10:00,LGFA U8 4 Team Group Y,Whitehall Colmcille,St Finians Swords,Ellenfield,TBC,2025-07-06,3293
Ladies Football,Sunday July 6,10:00,LGFA U8 3 Team Group V,Raheny,Castleknock,St Annes No 10,TBC,2025-07-06,3293
Ladies Football,Sunday July 6,10:00,LGFA U8 3 Team Group W,Castleknock,Raheny,Somerton,TBC,2025-07-06,3293
Ladies Football,Sunday July 6,10:00,LGFA U8 3 Team Group W,Naomh Fionnbarra,St Sylvesters,Pope John Paul Park II,TBC,2025-07-06,3293
Ladies Football,Sunday July 6,10:00,LGFA U8 3 Team Group X,St Maurs,St Patricks Donabate,Rush,TBC,2025-07-06,3293
Ladies Football,Sunday July 6,10:00,LGFA U8 3 Team Group X,Skerries Harps,Fingal Ravens,Skerries,TBC,2025-07-06,3293
Ladies Football,Sunday July 6,10:00,LGFA U8 3 Team Group Y,Ranelagh Gaels,Templeogue Synge Street,Cathal Brugha Barracks,TBC,2025-07-06,3293
Ladies Football,Sunday July 6,10:00,LGFA U8 3 Team Group Y,Thomas Davis,Kilmacud Crokes,Kiltipper Road,TBC,2025-07-06,3293
Ladies Football,Sunday July 6,10:00,LGFA U8 3 Team Group Y,Templeogue Synge Street,Clanna Gael/Fontenoy,Bushy Park,TBC,2025-07-06,3293
Ladies Football,Sunday July 6,10:00,LGFA U8 3 Team Group Y,Round Towers Clondalkin,Naomh Olaf,Clondalkin,TBC,2025-07-06,3293
Ladies Football,Sunday July 6,10:00,LGFA U8 3 Team Group Y,Kilmacud Crokes,Ballyboden St Endas,Pairc De Burca,TBC,2025-07-06,3293
Ladies Football,Sunday July 6,10:00,LGFA U8 3 Team Group Y,Foxrock Cabinteely,Ballinteer St Johns,Kilboggett Park,TBC,2025-07-06,3293
Ladies Football,Sunday July 6,10:00,LGFA U 8 2 Team Group X,Ballymun Kickhams,Erin Go Bragh,Pairc Ciceam,TBC,2025-07-06,3293
Ladies Football,Sunday July 6,10:00,LGFA U 8 2 Team Group X,Trinity Gaels,Beann Eadair,Drumnigh,TBC,2025-07-06,3293
Ladies Football,Sunday July 6,10:00,LGFA U8 2 Team Group Y,Round Towers Lusk/Scoil Ui Chonail,St Peters,Clontarf Road,TBC,2025-07-06,3293
Ladies Football,Sunday July 6,10:00,LGFA U8 2 Team Group Y,Garristown,Fingallians,Garristown,TBC,2025-07-06,3293
Ladies Football,Sunday July 6,10:00,LGFA U8 2 Team Group Y,O Dwyers,St Brendans /Innisfails,Bremore Park,TBC,2025-07-06,3293
Ladies Football,Sunday July 6,10:00,LGFA U8 2 Team Group Z,Bray Emmets/Shankill,Croi Ro Naofa/Good Counsel Liffey Gaels,Shanganagh Cliffs,TBC,2025-07-06,3293
Ladies Football,Sunday July 6,10:00,LGFA U8 2 Team Group Z,Garda Westmanstown Gaels/St Finians Newcastle,Stars of Erin,Jerome Twomey Park,TBC,2025-07-06,3293
Ladies Football,Sunday July 6,10:00,LGFA U8 2 Team Group Z,St Marys Saggart,St Patricks Palmerstown,Saggart,TBC,2025-07-06,3293
Ladies Football,Sunday July 6,10:00,LGFA U8 4 Team Group X,Lucan Sarsfields,Cuala,12th Lock,TBC,2025-07-06,3293
Ladies Football,Sunday July 6,10:00,LGFA U8 4 Team Group X,St Judes,Ballyboden St Endas,Tymon North,TBC,2025-07-06,3293
Ladies Football,Sunday July 6,10:00,LGFA U8 4 Team Group X,Ballyboden St Endas,Ballinteer St Johns,Cherryfield,TBC,2025-07-06,3293
Ladies Football,Monday July 7,19:30,LGFA Go-Ahead Adult League Div 11,St Margarets,St Brendans,St Margarets,Orla Simpson,2025-07-07,3292
Ladies Football,Wednesday July 9,19:30,LGFA Go-Ahead Adult Cup Div 7A,St Brendans,Fingallians,Longmeadows,Niall O Hara,2025-07-09,3292
Ladies Football,Wednesday July 9,19:30,LGFA Go-Ahead Adult League Div 3,Scoil Ui Chonaill,Na Fianna,Clontarf Road,Anthony Brennan,2025-07-09,3292
Ladies Football,Wednesday July 9,19:30,LGFA Go-Ahead Adult League Div 6,Wanderers,O Tooles,Frank Kelly Park,Pat Murphy,2025-07-09,3292
Ladies Football,Monday July 14,19:30,LGFA Go-Ahead Adult League Div 8,Beann Eadair,Craobh Chiaran,Howth,Vincent  Potter,2025-07-14,3292
Ladies Football,Wednesday July 16,19:30,LGFA Go-Ahead Adult Cup Div 7A,Ranelagh Gaels,St Brendans,Bushy Park,Reg Harbron,2025-07-16,3292
Ladies Football,Wednesday July 16,19:30,LGFA Go-Ahead Adult Cup Div 11A,St Brendans,Na Gaeil Aeracha,Longmeadows,John Doherty,2025-07-16,3292
